Soil;G;qt ;fs;u;gamma;mq;Rf
Mining tailing - gold;"2,86";"1012,73523";"22,904333";"28,424";"19,87";"202,547046";"2,27"
Mining tailing - gold;"2,86";"149,03642";"2,607";"13,0933";"18,77";"149,03642";"0,38"
Mining tailing - gold;"2,86";"303,57316";"5,681667";"15,51";"18,94";"151,78658";"0,52"
Mining tailing - gold;"2,86";"428,82269";"8,81133";"19,119";"19,22";"142,9408967";"0,91"
Mining tailing - gold;"2,86";"254,65487";"2,45933";"83,69733";"19,66";"63,6637175";"0,5"
Mining tailing - gold;"2,86";"313,11804";"2,326667";"115,514";"19,87";"62,623608";"0,68"
Mining tailing - gold;"2,86";"704,39563";"12,617";"62,418667";"19,73";"117,3992717";"0,57"
Mining tailing - gold;"2,86";"500,54735";"8,106667";"99,395333";"19,72";"71,50676429";"4,58"
Sand;"2,7";"2965,645";"12,98";"3,665";"19,25285886";"988,5483333";"0,38"
Sand;"2,7";"17381,72";"61,645";"29,465";"20,00889025";"2896,953333";"0,33"
Sand;"2,7";"9797,53";"40,16";"-10,405";"20,27010373";"1399,647143";"0,39"
Sand;"2,7";"19957,6495";"79,935";"47,65";"20,00889025";"2494,706188";"0,37"
Sand;"2,7";"17812,8625";"64,085";"63,84";"19,58383601";"1979,206944";"0,36"
Sand;"2,7";"27155,325";"87,075";"59,12";"19,35736893";"2715,5325";"0,3"
Sand;"2,7";"7568,5845";"39,495";"84,05";"19,25693998";"688,0531364";"0,33"
Sand;"2,7";"4473,2785";"9,925";"125,83";"20,66318754";"372,7732083";"0,3"
Sand;"2,7";"2897,479";"7,965";"306,265";"18,83355504";"222,883";"0,27"
Sand;"2,7";"3729,5995";"16,875";"109,555";"19,18938788";"266,3999643";"0,73"
Sand;"2,7";"5882,091";"21,065";"76,005";"19,89252067";"392,1394";"0,18"
Sand;"2,7";"4389,3085";"26,375";"105,66";"19,95980924";"274,3317813";"1,02"
Sand;"2,7";"3333,2475";"8,59";"234,875";"20,1985722";"196,0733824";"0,17"
Sand;"2,7";"5163,1255";"4,715";"311,765";"20,65056135";"286,8403056";"0,09"
Sand;"2,7";"9379,5705";"19,615";"157,25";"21,54287499";"493,6616053";"0,13"
Sand;"2,7";"3123,145";"11,965";"882,95";"15,18013145";"156,15725";"0,4"
Sand;"2,7";"3602,185";"19,77";"882,95";"15,26019395";"171,532619";"0,63"
Sand;"2,7";"2832,195";"9,475";"795,815";"15,16695338";"128,7361364";"0,36"
Sand;"2,7";"7958,7615";"20,555";"200,025";"20,70670555";"346,0331087";"0,26"
Sand;"2,7";"8518,998";"15,18";"196,015";"19,22980031";"354,95825";"0,22"
Sand;"2,7";"9541,9035";"17,77";"230,745";"19,66771495";"381,67614";"0,19"
Sand;"2,7";"9867,095";"19,345";"232,61";"20,40933166";"379,5036538";"0,24"
Sand;"2,7";"12037,3655";"44,905";"31,34";"21,42350285";"429,9059107";"0,29"
Sand;"2,7";"9345,4565";"56,595";"117,53";"21,10711836";"322,2571207";"0,5"
Sand;"2,7";"11986,2175";"77,325";"172,07";"21,24197356";"399,5405833";"0,71"
Sand;"2,7";"3138,514";"9,59";"7,42";"19,25285886";"1046,171333";"0,36"
Sand;"2,7";"18857,2335";"57,505";"31,015";"20,00889025";"3142,87225";"0,29"
Sand;"2,7";"8704,175";"28,44";"39,59";"20,27010373";"1243,453571";"0,36"
Sand;"2,7";"19203,045";"58,56";"52,075";"20,00889025";"2400,380625";"0,34"
Sand;"2,7";"23304,53";"63,63";"56,71";"19,58383601";"2589,392222";"0,27"
Sand;"2,7";"17337,0135";"32,895";"59,085";"19,35736893";"1733,70135";"0,15"
Sand;"2,7";"14306,574";"44,625";"77,475";"19,25693998";"1300,597636";"0,27"
Sand;"2,7";"2229,7885";"13,68";"114,055";"20,66318754";"185,8157083";"0,41"
